,type,lon,lat
1037,Traditional French restaurant,2.324,48.857
1038,European restuarant,2.323,48.854
1039,European restuarant,2.318,48.852
1040,Traditional French restaurant,2.317,48.857
1041,Asian restaurant,2.317,48.856
1042,Traditional French restaurant,2.327,48.854
1043,Central and South American restuarant,2.381,48.864
1044,Traditional French restaurant,2.38,48.863
1045,Traditional French restaurant,2.382,48.863
1046,Central and South American restuarant,2.379,48.861
1047,European restuarant,2.378,48.861
1048,Central and South American restuarant,2.378,48.861
1049,Asian restaurant,2.332,48.826
1050,Asian restaurant,2.335,48.831
1051,Maghrebian restaurant,2.331,48.831
1052,European restuarant,2.334,48.831
1053,Indian / Middle Eastern restaurant,2.329,48.83
1054,Traditional French restaurant,2.331,48.83
1055,European restuarant,2.331,48.828
1056,Indian / Middle Eastern restaurant,2.333,48.829
1057,Asian restaurant,2.329,48.829
1058,Central and South American restuarant,2.342,48.827
1059,European restuarant,2.343,48.826
1060,European restuarant,2.349,48.888
1061,African restaurant,2.355,48.885
1062,European restuarant,2.321,48.871
1063,European restuarant,2.319,48.87
1064,Traditional French restaurant,2.318,48.871
1065,Other world restaurant,2.318,48.871
1066,Asian restaurant,2.319,48.874
1067,Asian restaurant,2.317,48.873
1068,Asian restaurant,2.317,48.871
1069,Traditional French restaurant,2.314,48.872
1070,Traditional French restaurant,2.309,48.875
1071,Asian restaurant,2.314,48.877
